synthetic_code_id,parent_theoretical_id,parent_theoretical_name,synthetic_code_name,interpretive_definition,inclusion_criteria,exclusion_criteria,interpretive_rationale,boundary,synthetic_kind,review_status,focused_code_count
S33,T03,mobilność jako warunkowe przekształcanie dostępu do pracy i usług,Reagowanie na nierówność szans,"Mobilność staje się odpowiedzią na terytorialnie nierówny dostęp do godnego zatrudnienia, dochodu i rozwoju. Wyjazd lub przeprowadzka są tu rozumiane nie jako swobodna preferencja, lecz jako racjonalna próba wyjścia z miejsca o ograniczonych perspektywach.","Włączaj fragmenty, w których różnice między miejscami, regionami lub krajami są bezpośrednio wskazane jako powód rozważania, uzasadniania lub realizowania wyjazdu. Musi pojawić się związek mobilności z poszukiwaniem pracy, wyższych zarobków, rozwoju albo możliwości zbudowania stabilnego życia.","Nie włączaj wypowiedzi, które koncentrują się na bilansowaniu więzi, jakości pracy lub wcześniejszych doświadczeń migracyjnych, nawet jeśli dotyczą wyjazdu. Wykluczaj też opisy pracy za granicą, gdy nie przedstawiają nierówności możliwości jako przesłanki mobilności.","F239 pokazuje lokalne zróżnicowanie szans zawodowych jako impuls do przeprowadzki, a F393 interpretuje emigrację jako odpowiedź na strukturalnie ograniczoną możliwość godnego życia. W obu przypadkach mobilność jest mechanizmem kompensowania nierównego rozmieszczenia możliwości.","W odróżnieniu od C02 nacisk nie pada na osobiste lub rodzinne ważenie kosztów mobilności, lecz na strukturalny deficyt możliwości w miejscu pozostania jako źródło presji i uzasadnienia wyjazdu.",cluster,candidate,2
S34,T03,mobilność jako warunkowe przekształcanie dostępu do pracy i usług,Warunkowanie migracji bezpieczeństwem życiowym,"Migracja zarobkowa jest traktowana jako warunkowa strategia zabezpieczania utrzymania, której sens zależy od jednoczesnej oceny dochodu, jakości pracy, możliwości powrotu oraz kosztów dla relacji i zakorzenienia. Mobilność nie daje automatycznej poprawy, lecz wymaga negocjowania materialnego bezpieczeństwa z ciągłością życia społecznego.","Włączaj fragmenty, w których wyjazd zagraniczny, pozostawanie za granicą lub powrót są przedstawiane jako decyzje zależne od możliwości utrzymania oraz od warunków pracy, więzi, stabilności domowej albo alternatyw po powrocie. Wystarczy wyraźne pokazanie, że korzyść ekonomiczna jest zestawiona z innym kosztem lub ograniczeniem życiowym.","Nie włączaj fragmentów, w których mobilność jest uzasadniana wyłącznie przestrzenną nierównością ofert pracy i płac, bez opisu warunków podtrzymywania życia po wyjeździe. Wykluczaj także przenoszenie firm dla korzyści regulacyjnych oraz mobilność medyczną, ponieważ dotyczą one innych zasobów i podmiotów decyzji.","F253 ujmuje wyjazd jako bilans dochodu wobec jakości pracy i więzi, natomiast F387 pokazuje, że brak perspektyw powrotu może przekształcić tymczasowy wyjazd w sposób zabezpieczania podstawowego utrzymania. Oba kody opisują migrację jako zależną od tego, czy pozwala ona podtrzymać życie bez nadmiernego uszczerbku w innych jego wymiarach.","W odróżnieniu od C01 centralne są tu warunki, koszty i konsekwencje podtrzymywania życia w mobilności, a nie sama nierówność szans między miejscami, która inicjuje lub legitymizuje wyjazd.",cluster,candidate,2
S35,T03,mobilność jako warunkowe przekształcanie dostępu do pracy i usług,Transnarodowe kalibrowanie standardów instytucjonalnych,"Doświadczenie zagraniczne działa jako punkt odniesienia do oceny jakości pracy, ochrony socjalnej i sprawności instytucji w kraju. Sednem nie jest tu wykorzystanie mobilności do uzyskania konkretnego zasobu, lecz poznawcze i normatywne przedefiniowanie tego, co uznaje się za akceptowalny standard.","Włączaj fragmenty zawierające jawne porównanie kraju, instytucji lub warunków pracy za granicą z sytuacją krajową, służące ocenie praw pracowniczych, stresu, czasu pracy, świadczeń albo działania państwa.","Nie włączaj samego wyjazdu dla zarobku, dostępu do leczenia ani decyzji o pozostaniu za granicą. Wykluczaj porównania płac, jeśli nie prowadzą do oceny szerszego porządku instytucjonalnego lub standardu pracy.","Mobilność wytwarza perspektywę porównawczą, dzięki której krajowe warunki pracy i instytucje są oceniane według standardów poznanych poza krajem.",W przeciwieństwie do C02 porównanie nie służy tu bezpośrednio bilansowaniu własnej decyzji migracyjnej i bezpieczeństwa życiowego. W przeciwieństwie do F394 nie opisuje też praktycznego skorzystania z zagranicznej usługi.,standalone_candidate,needs_review,1
S36,T03,mobilność jako warunkowe przekształcanie dostępu do pracy i usług,Arbitraż regulacyjny działalności gospodarczej,"Podmioty gospodarcze przemieszczają firmę, rejestrację lub inwestycje między państwami, aby korzystać z korzystniejszych zasad podatkowych, składkowych lub inwestycyjnych. Mobilność staje się tu narzędziem zmiany otoczenia reguł, a nie indywidualną strategią zatrudnienia.","Włączaj fragmenty opisujące realne lub przewidywane przenoszenie przedsiębiorstw, rejestracji, kapitału albo inwestycji za granicę i wiążące ten ruch z podatkami, składkami, ulgami, strefami ekonomicznymi lub innymi regułami gospodarczymi.","Nie włączaj indywidualnych wyjazdów zarobkowych, nawet gdy motywuje je wyższa płaca. Wykluczaj również ogólną krytykę polityki gospodarczej, jeśli nie obejmuje ona przepływu działalności, kapitału lub inwestycji między miejscami.","Różnice regulacyjne między państwami umożliwiają podmiotom gospodarczym wybór miejsca prowadzenia działalności, z konsekwencjami dla lokalnego rynku pracy i bazy gospodarczej.","W odróżnieniu od C01 i C02 podmiotem mobilności jest firma lub inwestycja, zaś bezpośrednio poszukiwanym zasobem są korzystniejsze reguły gospodarcze, nie praca lub bezpieczeństwo życiowe jednostki.",standalone_candidate,needs_review,1
S37,T03,mobilność jako warunkowe przekształcanie dostępu do pracy i usług,Obchodzenie barier opieki przez mobilność,"Mobilność transnarodowa służy praktycznemu zastąpieniu niedostępnej, opóźnionej lub zbyt kosztownej opieki krajowej leczeniem uzyskanym za granicą. Przemieszczenie jest tu sposobem odzyskania dostępu do pilnej usługi zdrowotnej.","Włączaj fragmenty, w których osoba faktycznie korzysta, planuje skorzystać lub musi skorzystać z leczenia poza krajem z powodu braku ubezpieczenia, długiego oczekiwania, niedostępności świadczenia albo kosztu krajowej opieki.","Nie włączaj ogólnej krytyki systemu zdrowia bez transnarodowego działania ani porównań zagranicznych systemów bez uzyskiwania leczenia. Wykluczaj także wyjazdy związane przede wszystkim z pracą, dochodem lub relacjami rodzinnymi.",Przekroczenie granicy działa jako indywidualne obejście krajowej luki ubezpieczeniowej lub organizacyjnej w dostępie do leczenia.,"W odróżnieniu od F388 mobilność nie jest tu źródłem porównawczej oceny instytucji, lecz konkretną praktyką uzyskania świadczenia. W odróżnieniu od C02 celem nie jest organizacja utrzymania przez migrację zarobkową, ale dostęp do opieki zdrowotnej.",standalone_candidate,needs_review,1
S38,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Składanie dochodu z portfela zajęć,"Utrzymanie i możliwość kontynuowania wybranej ścieżki są osiągane przez łączenie dochodów z kilku prac, zleceń, świadczeń lub aktywności. Wielość źródeł kompensuje niewystarczalność pojedynczego zarobku, ale może rozpraszać pracę i opóźniać samodzielność specjalizacji.","Włączać, gdy fragment pokazuje co najmniej dwa źródła zarobku lub pracy albo dodatkową aktywność wyraźnie podjętą dlatego, że jedno źródło nie wystarcza do utrzymania lub finansowania rozwijanej specjalizacji. Źródła muszą pełnić praktyczną funkcję bieżącego podtrzymania.","Nie włączać samego doświadczenia niedoboru pieniędzy bez opisu sposobu jego kompensowania ani pracy dorywczej, która prowadzi przede wszystkim do trwałej stabilizacji jednego zatrudnienia. Nie włączać też współpracy tworzącej jeden konkretny dodatkowy zarobek, jeśli nie ma logiki portfela źródeł.","Przypisane kody opisują tę samą adaptację do dochodowej niepełności: zamiast polegać na jednym zatrudnieniu, osoba utrzymuje się dzięki zestawianiu aktywności i wpływów, często chroniąc przy tym mniej dochodową, lecz ważną ścieżkę zawodową.","W odróżnieniu od C02 centrum stanowi aktywne organizowanie wielości źródeł, a nie sama presja i skutki ekonomicznej niewystarczalności. Od C07 różni się tym, że chodzi o podtrzymanie utrzymania, nie o uruchamianie przedsięwzięcia lub projektu.",cluster,candidate,3
S39,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Doświadczanie utraty ekonomicznego oparcia,"Niewystarczający, utracony lub opóźniony dochód podkopuje możliwość utrzymania i realizacji planowanej ścieżki. Ekonomiczna kruchość ujawnia się zarówno jako presja biograficzna, jak i bezpośrednia utrata płynności, mieszkania lub zdolności do przejścia między pracami.","Włączać, gdy brak, spadek lub nieregularność środków jest wyraźnie połączona ze stresem, koniecznością zmiany planów, zadłużeniem, problemem opłacenia koniecznych kosztów, dostępem do mieszkania albo ograniczeniem mobilności zawodowej.","Nie włączać bieżącego planowania wydatków, jeżeli nie pokazano naruszenia podstaw ekonomicznego utrzymania. Nie włączać też opisu wielu źródeł dochodu, rezerw lub pomocy, jeśli fragment nie koncentruje się na konsekwencjach ich niedostatku.","Oba kody ujmują dochód nie jako abstrakcyjną miarę zasobności, lecz jako warunek możliwości kontynuowania edukacji, pracy i codziennego funkcjonowania; jego utrata przenosi ryzyko na przebieg biografii.","W odróżnieniu od C01 opisuje problem ekonomiczny i jego konsekwencje, a nie strategię składania dochodów. W odróżnieniu od C03 nie dotyczy świadomego regulowania marginesu finansowego, lecz sytuacji, w której ten margines zostaje naruszony lub zanika.",cluster,candidate,2
S40,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Regulowanie marginesu finansowego,"Ograniczone środki są aktywnie porządkowane w czasie przez selekcję wydatków, odkładanie decyzji i wyobrażanie przyszłego zapasu. Margines finansowy staje się praktycznym narzędziem określania, co jest obecnie możliwe, a co trzeba przesunąć lub ograniczyć.","Włączać, gdy osoba odnosi dochody, oszczędności lub przewidywane środki do konkretnych decyzji o ograniczaniu, przesuwaniu, hierarchizowaniu wydatków albo odkładaniu pieniędzy na przyszłe potrzeby. Musi być widoczna czynność zarządzania relacją między zasobami a kosztami.","Nie włączać samego wyczerpania środków, zaległości lub braku mieszkania bez decyzji budżetowej. Nie włączać materialnego albo instytucjonalnego bufora, gdy fragment dotyczy korzystania z już dostępnego zabezpieczenia, a nie zarządzania budżetem.","Kody łączy praktyka przekształcania niepewnego lub ograniczonego dochodu w kontrolowany plan wydatków i rezerw; różnią się horyzontem czasowym, ale nie podstawową logiką regulowania finansowego marginesu.","W odróżnieniu od C02 chodzi o sprawcze zarządzanie ograniczeniem, a nie o jego niszczące skutki. W odróżnieniu od C04 rezerwa jest tu przedmiotem planowania i oszczędzania, a nie już uruchomionym materialnym lub instytucjonalnym zabezpieczeniem.",cluster,candidate,2
S41,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Uruchamianie buforów bezpieczeństwa,"Niepewność dochodowa i przejściowość pracy są łagodzone przez zasoby, które redukują koszty życia lub zapewniają ochronę w razie załamania: niepieniężny dostęp, oszczędności, kredyt, ubezpieczenie czy świadczenie. Bufor zmniejsza bezpośrednią zależność od bieżącego zarobku.","Włączać, gdy konkretny zasób materialny lub instytucjonalny jest używany jako rezerwa, awaryjne źródło, ochrona dostępu do opieki albo sposób ograniczenia kosztów utrzymania w okresie niepewności. Fragment powinien wskazywać ochronną funkcję zasobu.","Nie włączać zwykłego dochodu przeznaczanego na bieżące wydatki ani samego oszczędzania bez wskazania funkcji buforowej. Nie włączać pomocy bliskich, gdy podstawowym mechanizmem jest relacyjna zależność lub wzajemność, a nie materialny bądź instytucjonalny instrument zabezpieczenia.",Przypisane kody opisują przeformułowanie zasobów innych niż regularna pensja w ochronę przed skutkami niepewności: poprzez obniżenie koniecznych kosztów albo stworzenie awaryjnego oparcia.,"W odróżnieniu od C03 dotyczy faktycznie dostępnych i uruchamianych zabezpieczeń, nie samego sterowania budżetem. W odróżnieniu od C06 źródłem ochrony nie jest przede wszystkim relacja wsparcia, lecz materialny lub instytucjonalny zasób.",cluster,candidate,2
S42,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Otwieranie możliwości przez sieci,"Kontakty i usytuowanie poza lokalnym otoczeniem są przekładane na dostęp do ofert, informacji, klientów, edukacji lub pracy. Relacje działają jako pośrednicząca infrastruktura, która czyni możliwości osiągalnymi, zamiast jedynie wspierać osobę w kryzysie.","Włączać, gdy wskazana relacja, sieć albo dostęp przestrzenny prowadzi do uzyskania informacji, rekomendacji, klienta, pracy, praktyki, edukacji lub rozwiązania finansującego możliwość. Musi być widoczny mechanizm otwarcia dostępu, a nie wyłącznie posiadanie znajomych.","Nie włączać wsparcia finansowego, emocjonalnego lub opiekuńczego od bliskich, jeśli nie otwiera ono nowej możliwości działania. Nie włączać też wspólnego wytwarzania dochodu lub rozwijania własnej działalności, gdy relacje są przede wszystkim współpracownikami przedsięwzięcia.","Wszystkie przypisane F ukazują relacje jako praktyczny kanał dystrybucji dostępu: umożliwiają wejście do zatrudnienia, pozyskanie informacji i klientów albo przejście przez bariery edukacyjne i finansowe.","W odróżnieniu od C06 relacja przede wszystkim otwiera zewnętrzną możliwość, a nie osłania osobę w przejściu lub kryzysie. W odróżnieniu od C07 sieć dostarcza dostępu do okazji, ale nie musi jeszcze współtworzyć własnego projektu lub dochodu.",cluster,candidate,4
S43,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Relacyjne zabezpieczanie przejść,"Bliscy i trwalsze sieci są uruchamiani jako zaplecze przejść życiowych: dostarczają pieniędzy, wiedzy, mieszkania, kontaktów, wzajemnej pomocy lub oczekiwanego wsparcia w razie ryzyka. Takie oparcie ułatwia działanie, ale może przesuwać koszt niepewności na relacje i podtrzymywać zależność.","Włączać, gdy rodzina, partner, znajomi lub wspólnota konkretnie umożliwiają poradzenie sobie z przeprowadzką, kryzysem, zmianą pracy, finansowaniem ryzyka lub orientacją w nowym etapie. Wsparcie musi mieć praktyczne znaczenie dla utrzymania, przejścia albo dalszej zdolności działania.","Nie włączać pojedynczej rekomendacji prowadzącej przede wszystkim do pracy lub edukacji, jeśli nie ma szerszej funkcji zabezpieczającej. Nie włączać zwykłego podtrzymywania kontaktów towarzyskich ani instytucjonalnych świadczeń niezapośredniczonych przez relację.","Kody łączy to, że ryzyko nie jest obsługiwane wyłącznie indywidualnie: zostaje rozłożone między osoby i sieci, które dostarczają zasobów, ciągłości oraz możliwości przetrwania przejścia.","W odróżnieniu od C05 relacje są tu przede wszystkim oparciem w niepewności, nie kanałem otwierającym konkretną ofertę lub pozycję. W odróżnieniu od C04 zabezpieczenie ma przede wszystkim relacyjne źródło, nawet gdy przybiera postać pieniędzy lub mieszkania.",cluster,candidate,5
S44,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Przekuwanie zasobów w działanie,"Wcześniejsze kompetencje, narzędzia, kontakty i współpraca są przekształcane w zdolność uruchomienia projektu, własnej aktywności albo dodatkowego dochodu. Zasób nie jest tu biernym zapleczem, lecz zostaje praktycznie użyty do wytworzenia działania i jego rezultatów.","Włączać, gdy fragment wskazuje, że doświadczenie, pasja, infrastruktura, sieć lub współpraca są bezpośrednio wykorzystane do rozpoczęcia, podtrzymania albo rozwijania projektu, działalności, produkcji, sprzedaży lub dodatkowego zarobku. Musi być widoczny związek między uruchomionym zasobem a realizowanym działaniem.","Nie włączać wykorzystywania kontaktów wyłącznie do otrzymania etatu, informacji lub rekomendacji. Nie włączać wielości prac służącej przede wszystkim pokryciu kosztów utrzymania ani samego posiadania umiejętności lub narzędzi bez ich użycia.","Przypisane kody są przypadkami produktywnego przekształcania dostępnych zasobów w aktywność: biograficzna ciągłość kompetencji, współpraca i infrastruktura pozwalają tworzyć dochód lub realizować własne przedsięwzięcia mimo ograniczonych warunków startu.","W odróżnieniu od C01 celem nie jest przede wszystkim złożenie bieżącego utrzymania z wielu źródeł, lecz wytworzenie działania lub przedsięwzięcia. W odróżnieniu od C05 relacje i zasoby są tu współtworzywem projektu, a nie jedynie drogą dostępu do zewnętrznej możliwości.",cluster,candidate,4
S45,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Usamodzielnianie się przez zarabianie,Praca i pierwsze zarobki są interpretowane jako proces zdobywania odpowiedzialności za własne decyzje oraz oddzielania się od finansowej zależności od rodziny.,"Włączać, gdy praca lub pieniądze są wyraźnie przedstawiane jako lekcja samodzielności, zarządzania własnymi zasobami albo uniezależniania się od rodziców.","Nie włączać samego składania utrzymania, korzystania z pomocy rodziny ani zarządzania budżetem, gdy nie pojawia się znaczenie podmiotowej samodzielności.","Praca działa jako doświadczenie podmiotowego usamodzielnienia, nie tylko jako źródło zasobów.","Różni się od C01-C04, ponieważ koncentruje się na formowaniu autonomii i odpowiedzialności, a nie na technikach zapewnienia utrzymania lub ochrony przed ryzykiem.",standalone_candidate,needs_review,1
S46,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Moralne ocenianie pracy przez rodzinę,"Rodzinne wzorce pracowitości i zasługiwania stają się miarą, przez którą osoba ocenia własną aktywność, bierność, zarobki i odpowiedzialność.","Włączać, gdy rodzinne przekazy lub przykład pracy bliskich są explicite używane do wartościowania własnego stosunku do pracy lub utrzymania.","Nie włączać praktycznej pomocy rodziny, rodzinnego finansowania przejścia ani zwykłego opisu pracy rodziców bez odniesienia do własnej oceny normatywnej.","Relacja rodzinna organizuje moralne znaczenie pracy, a nie bezpośrednio infrastrukturę utrzymania.","Różni się od C06, ponieważ rodzina działa tu jako źródło norm i samokontroli, nie jako praktyczne zaplecze zasobów.",standalone_candidate,needs_review,1
S47,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Stabilizowanie zatrudnienia przez rozszerzanie zaangażowania,"Ograniczone, dorywcze lub rozproszone zatrudnienie przechodzi stopniowo w bardziej ciągłą i regularną formę pracy.","Włączać, gdy fragment dokumentuje sekwencję od stażu, sezonu, zleceń, małego wymiaru lub wielu miejsc ku większej regularności, wymiarowi, formalizacji albo pozostaniu w jednym miejscu.",Nie włączać wielości zajęć bez przejścia ku stabilności ani pojedynczego rozpoczęcia pracy bez pokazanej zmiany formy zatrudnienia w czasie.,Stabilność jest wytwarzana jako sekwencja rozszerzania i utrwalania relacji pracy.,"Różni się od C01, które kompensuje niestabilność przez równoległość źródeł; tutaj mechanizm polega na redukowaniu tej równoległości przez konsolidację zatrudnienia.",standalone_candidate,needs_review,1
S48,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Podtrzymywanie życia towarzyskiego pod presją czasu,Relacje towarzyskie są celowo organizowane i podtrzymywane mimo ograniczeń czasu oraz natłoku obowiązków.,"Włączać, gdy osoba opisuje planowanie wspólnej obecności, spotkań lub czasu dla znajomych jako warunek utrzymania relacji.","Nie włączać relacji używanych do zdobycia pracy, pieniędzy, mieszkania, informacji lub wsparcia w przejściu.","Kod opisuje reprodukcję życia relacyjnego, nie składanie warunkowej infrastruktury utrzymania.","Różni się od C06, ponieważ więź jest tu wartością samą w sobie i przedmiotem troski, a nie zasobem praktycznie mobilizowanym dla utrzymania lub przejścia.",standalone_candidate,needs_review,1
S49,T04,składanie zasobów w warunkową infrastrukturę utrzymania,Opiekuńcze podtrzymywanie więzi rodzinnych,"Osoba utrzymuje więź rodzinną poprzez obecność, opiekę i przejmowanie odpowiedzialności wobec bliskiego w trudnej sytuacji.","Włączać, gdy fragment opisuje konkretne działania opiekuńcze, wspieranie członka rodziny lub organizowanie obecności jako odpowiedź na jego kryzys albo potrzebę.","Nie włączać otrzymywania wsparcia od rodziny, mobilizowania jej zasobów dla własnego przejścia ani samego deklarowania rodzinnej bliskości.","To praktyka opieki i odpowiedzialności rodzinnej, a nie mobilizowanie zasobów dla własnej infrastruktury utrzymania.","Różni się od C06 kierunkiem i funkcją relacji: tutaj badany świadczy opiekę dla podtrzymania bliskiego, podczas gdy C06 ujmuje relacje jako zaplecze umożliwiające własne przejście lub utrzymanie.",standalone_candidate,needs_review,1
S50,T05,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,Ocenianie ładu przez rozkład obciążeń,"Instytucje publiczne są oceniane przez sposób rozłożenia ciężarów fiskalnych oraz przez to, czy obieg wpłat i świadczeń jest postrzegany jako zrozumiały, wzajemny i sprawiedliwy. W centrum znajduje się legitymizacja publicznego ładu przez relację między wkładem obywateli a otrzymywanym wsparciem.","Włączaj fragmenty, które odnoszą podatki, składki, świadczenia lub formalne obowiązki do nierównego traktowania grup, redystrybucji środków albo wzajemnej odpowiedzialności obywateli i państwa. Wymagane jest odniesienie do publicznych reguł przepływu zasobów, a nie wyłącznie do prywatnego kosztu prowadzenia działalności.","Nie włączaj opisów niedoboru miejsc pracy, jakości zarządzania gospodarką ani niepewności zatrudnienia, jeśli nie dotyczą one rozkładu fiskalnych lub świadczeniowych obciążeń. Wyłączaj także postulaty zmian prawa skoncentrowane na przyszłym urządzeniu warunków życia, gdy nie zawierają oceny istniejącej dystrybucji wkładów i wsparcia.","Oba kody ujmują państwo nie jako abstrakcyjną władzę, lecz jako system organizujący przepływ obowiązków i zasobów; ocena jego sprawiedliwości zależy od tego, kto ponosi ciężar oraz kto i na jakich zasadach korzysta ze wsparcia.","W odróżnieniu od C02 kod ten dotyczy oceny aktualnego rozkładu ciężarów i świadczeń, a nie projektowania pożądanego instytucjonalnego kształtu pracy i życia.",cluster,candidate,2
S51,T05,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,Projektowanie publicznych gwarancji życiowych,"Warunki pracy i życia są przedstawiane jako rezultat możliwy do aktywnego ukształtowania przez państwo, prawo i pracodawców. Kod obejmuje postulowanie publicznych gwarancji dostępu, ciągłości, ochrony oraz godnych możliwości życiowych.","Włączaj wypowiedzi zawierające oczekiwanie, propozycję lub normatywny obraz regulacji publicznej odnoszącej się do zatrudnienia, dochodu, edukacji, rodziny, emerytury albo działalności gospodarczej. Fragment powinien wskazywać instytucję, prawo, pracodawcę lub regułę publiczną jako podmiot odpowiedzialny za organizację tych warunków.","Nie włączaj samego opisu złych warunków pracy lub niskich zarobków bez postulatu albo wizji instytucjonalnej zmiany. Wyłączaj krytykę podatków i składek, gdy dotyczy przede wszystkim nierównego obciążenia, oraz praktyczną pomoc oddolną niewiązaną z reorganizacją reguł publicznych.","F232 i F331 łączy przekonanie, że bezpieczeństwo i możliwość prowadzenia życia nie powinny zależeć wyłącznie od indywidualnego radzenia sobie, lecz od celowo urządzonego ładu instytucjonalnego.","W odróżnieniu od C01 jest to kod prospektywny i projektujący: określa, jak instytucje powinny organizować możliwości życiowe, zamiast oceniać aktualny rozkład danin i świadczeń.",cluster,candidate,2
S52,T05,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,Przekształcanie zaangażowania w sprawstwo pomocowe,"Działanie zbiorowe staje się źródłem sprawstwa, gdy uczestnictwo w organizacjach, relacjach i projektach pozwala praktycznie wspierać innych, uruchamiać zasoby oraz poszerzać własną rolę. Zaangażowanie jest tu rozumiane jako wykonywanie użytecznej pracy społecznej i rozwijanie zdolności do jej organizowania.","Włączaj opisy wolontariatu, organizacji lub inicjatyw, w których uczestnictwo prowadzi do zdobywania kontaktów, kompetencji, kolejnych ról, koordynowania działań albo bezpośredniego udostępniania pomocy i infrastruktury innym. Fragment powinien pokazywać praktyczny efekt działania wykraczający poza samą deklarację przynależności.","Nie włączaj opisów ograniczania, odkładania lub niepodejmowania uczestnictwa z powodu pracy, czasu lub braku miejsca w organizacji. Wyłączaj też zależność inicjatyw od finansowania publicznego, jeśli tekst nie dotyczy wykonywania pomocy ani rozwijania sprawstwa uczestników.",F312 i F332 są przypadkami tego samego procesu: relacyjne wejście w zorganizowane działanie przekłada zasoby jednostki i organizacji na realną zdolność wspierania innych oraz rozszerzania zakresu działania.,"W odróżnieniu od C05 kod ten opisuje rozwój i praktyczne urzeczywistnianie sprawstwa, nie warunki blokujące lub kalibrujące dostęp do uczestnictwa. W odróżnieniu od C06 nie dotyczy relacji działania z politycznym finansowaniem i autonomią.",cluster,candidate,2
S53,T05,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,Warunkowanie dostępności uczestnictwa,"Uczestnictwo zbiorowe nie jest stałą dyspozycją jednostki, lecz zmiennym rezultatem jej sytuacji biograficznej, warunków pracy, dostępności struktur, poczucia przynależności i społecznego ryzyka działania. Kod obejmuje zarówno brak możliwości wejścia w działanie, jak i regulowanie jego intensywności.","Włączaj fragmenty, w których rozpoczęcie, odroczenie, ograniczenie, zaniechanie albo zmiana zaangażowania w protest, związek, organizację lub inną aktywność zbiorową zostają powiązane z czasem, pracą, stabilnością, brakiem struktur, obawą, pozycją organizacyjną albo brakiem identyfikacji z grupą. Wymagane jest wskazanie warunku uczestnictwa lub nieuczestnictwa.","Nie włączaj skutecznego rozwijania roli organizacyjnej ani praktycznej pomocy, jeśli nie są one przedstawione jako problem dostępu do działania. Wyłączaj ogólne deklaracje polityczne oraz sam fakt braku udziału, gdy fragment nie podaje jego warunków.","F317 i F329 pokazują, że udział zbiorowy jest negocjowany na styku ograniczeń strukturalnych oraz indywidualnej pozycji w biografii i organizacji; gotowość nie wystarcza bez dostępnej roli, czasu, bezpieczeństwa i możliwości współdziałania.","W odróżnieniu od C04 C05 analizuje progi, bariery i regulację wejścia w działanie, a nie przekształcanie już podjętego zaangażowania w sprawstwo. W odróżnieniu od C06 źródłem warunkowości są tu przede wszystkim zasoby i pozycja uczestnika, nie relacja inicjatywy z władzą polityczną.",cluster,candidate,2
S54,T05,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,Negocjowanie politycznej zależności działania,"Inicjatywy zbiorowe określają swoją możliwość działania w relacji do polityki: mogą być uzależnione od decyzji, finansowania i priorytetów władzy albo aktywnie wyznaczać granice wobec politycznych korzyści i wpływu. Wspólnym mechanizmem jest organizowanie działania przez zarządzanie relacją między zasobami a autonomią.","Włączaj fragmenty, w których decyzje rządu, zmiany polityczne, konkursy, finansowanie, przywileje lub symboliczne związki z partią wpływają na kontynuację, znaczenie albo niezależność działania społecznego. Fragment musi przedstawiać politykę jako źródło zasobu, presji lub granicy dla inicjatywy.","Nie włączaj samego uczestnictwa w polityce, demonstracji lub organizacji bez kwestii wpływu politycznego na zasoby albo autonomię. Wyłączaj oddolną pomoc i organizowanie infrastruktury, jeśli relacja z władzą, finansowaniem lub politycznym uwikłaniem nie jest obecna.",F321 i F334 ujawniają dwa bieguny tej samej relacji: działanie może być narażone na zależność od politycznych zasobów albo może chronić swoje znaczenie przez odmowę politycznego zawłaszczenia.,"W odróżnieniu od C05 nie chodzi o biograficzne i organizacyjne progi uczestnictwa jednostki, lecz o zewnętrzną relację całego działania z polityczną władzą i jej zasobami. W odróżnieniu od C04 nie jest to kod praktycznej pomocy, lecz zarządzania warunkami jej niezależnego prowadzenia.",cluster,candidate,2
S55,T05,upolitycznianie warunków życia i warunkowe uczestnictwo zbiorowe,Strukturalizowanie niepewności pracy,"Trudności z dostępem do pracy i jakością zatrudnienia są wyjaśniane jako skutek organizacji rynku, gospodarki i szerszej pozycji strukturalnej, a nie jako jednostkowe niepowodzenie. Takie ujęcie upolitycznia doświadczenie pracy przez przeniesienie odpowiedzialności na poziom publicznego ładu gospodarczego.","Włączaj fragmenty wiążące brak pracy, ograniczone szanse, złą jakość zatrudnienia lub trwałość niekorzystnych warunków z niedoborem możliwości, zarządzaniem gospodarką, strukturą rynku albo pozycją kraju. Musi być widoczna generalizacja poza pojedyncze stanowisko lub pracodawcę.","Nie włączaj postulatów konkretnych gwarancji, regulacji czy świadczeń, jeśli fragment nie zawiera strukturalnej diagnozy rynku pracy. Wyłączaj indywidualne konflikty płacowe, doświadczenia jednego miejsca pracy oraz oceny redystrybucji podatków i składek.",Prywatnie doświadczane trudności zatrudnieniowe zostają odczytane jako efekt szerszego układu gospodarczego i organizacji rynku pracy.,"W odróżnieniu od C02 kod diagnozuje ponadindywidualne źródło niepewności pracy, zamiast projektować instytucjonalne rozwiązanie. W odróżnieniu od C01 nie koncentruje się na obiegu danin, składek i świadczeń.",standalone_candidate,needs_review,1
